Code,Description,Level,Parent_Code
2017,NAICS UNITED STATES STRUCTURE 45,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 43,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 41,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 57,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 37,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 51,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 39,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 27,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 73,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 71,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 69,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 67,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 65,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 53,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 63,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 61,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 59,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 33,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 75,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 31,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 55,Industry Group,201
2017,NAICS UNITED STATES STRUCTURE 29,Industry Group,201
21,"Mining, Quarrying, and Oil and Gas Extraction",Sector,
211,Oil and Gas Extraction,Subsector,21
2111,Oil and Gas Extraction,Industry Group,211
21112,Crude Petroleum Extraction,Industry,2111
211120,Crude Petroleum Extraction,U.S. Industry,21112
21113,Natural Gas Extraction,Industry,2111
211130,Natural Gas Extraction,U.S. Industry,21113
212,Mining (except Oil and Gas),Subsector,21
2121,Coal Mining,Industry Group,212
21211,Coal Mining,Industry,2121
212111,Bituminous Coal and Lignite Surface Mining,U.S. Industry,21211
212112,Bituminous Coal Underground Mining,U.S. Industry,21211
212113,Anthracite Mining,U.S. Industry,21211
2122,Metal Ore Mining,Industry Group,212
21221,Iron Ore Mining,Industry,2122
212210,Iron Ore Mining,U.S. Industry,21221
21222,Gold Ore and Silver Ore Mining,Industry,2122
212221,Gold Ore Mining,U.S. Industry,21222
212222,Silver Ore Mining,U.S. Industry,21222
21223,"Copper, Nickel, Lead, and Zinc Mining",Industry,2122
212230,"Copper, Nickel, Lead, and Zinc Mining",U.S. Industry,21223
21229,Other Metal Ore Mining,Industry,2122
212291,Uranium-Radium-Vanadium Ore Mining,U.S. Industry,21229
212299,All Other Metal Ore Mining,U.S. Industry,21229
2123,Nonmetallic Mineral Mining and Quarrying,Industry Group,212
21231,Stone Mining and Quarrying,Industry,2123
212311,Dimension Stone Mining and Quarrying,U.S. Industry,21231
212312,Crushed and Broken Limestone Mining and Quarrying,U.S. Industry,21231
212313,Crushed and Broken Granite Mining and Quarrying,U.S. Industry,21231
212319,Other Crushed and Broken Stone Mining and Quarrying,U.S. Industry,21231
21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and",Industry,2123
212321,Construction Sand and Gravel Mining,U.S. Industry,21232
212322,Industrial Sand Mining,U.S. Industry,21232
212324,Kaolin and Ball Clay Mining,U.S. Industry,21232
212325,Clay and Ceramic and Refractory Minerals Mining,U.S. Industry,21232
21239,Other Nonmetallic Mineral Mining and Quarrying,Industry,2123
212391,"Potash, Soda, and Borate Mineral Mining",U.S. Industry,21239
212392,Phosphate Rock Mining,U.S. Industry,21239
212393,Other Chemical and Fertilizer Mineral Mining,U.S. Industry,21239
212399,All Other Nonmetallic Mineral Mining,U.S. Industry,21239
213,Support Activities for Mining,Subsector,21
2131,Support Activities for Mining,Industry Group,213
21311,Support Activities for Mining,Industry,2131
213111,Drilling Oil and Gas Wells,U.S. Industry,21311
213112,Support Activities for Oil and Gas Operations,U.S. Industry,21311
213113,Support Activities for Coal Mining,U.S. Industry,21311
213114,Support Activities for Metal Mining,U.S. Industry,21311
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,U.S. Industry,21311
22,Utilities,Sector,
221,Utilities,Subsector,22
2211,"Electric Power Generation, Transmission and Distribution",Industry Group,221
22111,Electric Power Generation,Industry,2211
221111,Hydroelectric Power Generation,U.S. Industry,22111
221112,Fossil Fuel Electric Power Generation,U.S. Industry,22111
221113,Nuclear Electric Power Generation,U.S. Industry,22111
221114,Solar Electric Power Generation,U.S. Industry,22111
221115,Wind Electric Power Generation,U.S. Industry,22111
221116,Geothermal Electric Power Generation,U.S. Industry,22111
221117,Biomass Electric Power Generation,U.S. Industry,22111
221118,Other Electric Power Generation,U.S. Industry,22111
22112,"Electric Power Transmission, Control, and Distribution",Industry,2211
221121,Electric Bulk Power Transmission and Control,U.S. Industry,22112
221122,Electric Power Distribution,U.S. Industry,22112
2212,Natural Gas Distribution,Industry Group,221
22121,Natural Gas Distribution,Industry,2212
221210,Natural Gas Distribution,U.S. Industry,22121
2213,"Water, Sewage and Other Systems",Industry Group,221
22131,Water Supply and Irrigation Systems,Industry,2213
221310,Water Supply and Irrigation Systems,U.S. Industry,22131
22132,Sewage Treatment Facilities,Industry,2213
221320,Sewage Treatment Facilities,U.S. Industry,22132
22133,Steam and Air-Conditioning Supply,Industry,2213
221330,Steam and Air-Conditioning Supply,U.S. Industry,22133
23,Construction,Sector,
236,Construction of Buildings,Subsector,23
2361,Residential Building Construction,Industry Group,236
23611,Residential Building Construction,Industry,2361
236115,New Single-Family Housing Construction (except For-Sale Builders),U.S. Industry,23611
236116,New Multifamily Housing Construction (except For-Sale Builders),U.S. Industry,23611
236117,New Housing For-Sale Builders,U.S. Industry,23611
236118,Residential Remodelers,U.S. Industry,23611
2362,Nonresidential Building Construction,Industry Group,236
23621,Industrial Building Construction,Industry,2362
236210,Industrial Building Construction,U.S. Industry,23621
23622,Commercial and Institutional Building Construction,Industry,2362
236220,Commercial and Institutional Building Construction,U.S. Industry,23622
237,Heavy and Civil Engineering Construction,Subsector,23
2371,Utility System Construction,Industry Group,237
23711,Water and Sewer Line and Related Structures Construction,Industry,2371
237110,Water and Sewer Line and Related Structures Construction,U.S. Industry,23711
23712,Oil and Gas Pipeline and Related Structures Construction,Industry,2371
237120,Oil and Gas Pipeline and Related Structures Construction,U.S. Industry,23712
23713,Power and Communication Line and Related Structures Construction,Industry,2371
237130,Power and Communication Line and Related Structures Construction,U.S. Industry,23713
2372,Land Subdivision,Industry Group,237
23721,Land Subdivision,Industry,2372
237210,Land Subdivision,U.S. Industry,23721
2373,"Highway, Street, and Bridge Construction",Industry Group,237
23731,"Highway, Street, and Bridge Construction",Industry,2373
237310,"Highway, Street, and Bridge Construction",U.S. Industry,23731
2379,Other Heavy and Civil Engineering Construction,Industry Group,237
23799,Other Heavy and Civil Engineering Construction,Industry,2379
237990,Other Heavy and Civil Engineering Construction,U.S. Industry,23799
238,Specialty Trade Contractors,Subsector,23
2381,"Foundation, Structure, and Building Exterior Contractors",Industry Group,238
23811,Poured Concrete Foundation and Structure Contractors,Industry,2381
238110,Poured Concrete Foundation and Structure Contractors,U.S. Industry,23811
23812,Structural Steel and Precast Concrete Contractors,Industry,2381
238120,Structural Steel and Precast Concrete Contractors,U.S. Industry,23812
23813,Framing Contractors,Industry,2381
238130,Framing Contractors,U.S. Industry,23813
23814,Masonry Contractors,Industry,2381
238140,Masonry Contractors,U.S. Industry,23814
23815,Glass and Glazing Contractors,Industry,2381
238150,Glass and Glazing Contractors,U.S. Industry,23815
23816,Roofing Contractors,Industry,2381
238160,Roofing Contractors,U.S. Industry,23816
23817,Siding Contractors,Industry,2381
238170,Siding Contractors,U.S. Industry,23817
23819,"Other Foundation, Structure, and Building Exterior Contractors",Industry,2381
238190,"Other Foundation, Structure, and Building Exterior Contractors",U.S. Industry,23819
2382,Building Equipment Contractors,Industry Group,238
23821,Electrical Contractors and Other Wiring Installation Contractors,Industry,2382
238210,Electrical Contractors and Other Wiring Installation Contractors,U.S. Industry,23821
23822,"Plumbing, Heating, and Air-Conditioning Contractors",Industry,2382
238220,"Plumbing, Heating, and Air-Conditioning Contractors",U.S. Industry,23822
23829,Other Building Equipment Contractors,Industry,2382
238290,Other Building Equipment Contractors,U.S. Industry,23829
2383,Building Finishing Contractors,Industry Group,238
23831,Drywall and Insulation Contractors,Industry,2383
238310,Drywall and Insulation Contractors,U.S. Industry,23831
23832,Painting and Wall Covering Contractors,Industry,2383
238320,Painting and Wall Covering Contractors,U.S. Industry,23832
23833,Flooring Contractors,Industry,2383
238330,Flooring Contractors,U.S. Industry,23833
23834,Tile and Terrazzo Contractors,Industry,2383
238340,Tile and Terrazzo Contractors,U.S. Industry,23834
23835,Finish Carpentry Contractors,Industry,2383
238350,Finish Carpentry Contractors,U.S. Industry,23835
23839,Other Building Finishing Contractors,Industry,2383
238390,Other Building Finishing Contractors,U.S. Industry,23839
2389,Other Specialty Trade Contractors,Industry Group,238
23891,Site Preparation Contractors,Industry,2389
238910,Site Preparation Contractors,U.S. Industry,23891
23899,All Other Specialty Trade Contractors,Industry,2389
238990,All Other Specialty Trade Contractors,U.S. Industry,23899
24,Unknown Sector,Sector,
25,Unknown Sector,Sector,
26,Unknown Sector,Sector,
27,Unknown Sector,Sector,
28,Unknown Sector,Sector,
29,Unknown Sector,Sector,
30,Unknown Sector,Sector,
31,Manufacturing,Sector,
311,Food Manufacturing,Subsector,31
3111,Animal Food Manufacturing,Industry Group,311
31111,Animal Food Manufacturing,Industry,3111
311111,Dog and Cat Food Manufacturing,U.S. Industry,31111
311119,Other Animal Food Manufacturing,U.S. Industry,31111
3112,Grain and Oilseed Milling,Industry Group,311
31121,Flour Milling and Malt Manufacturing,Industry,3112
311211,Flour Milling,U.S. Industry,31121
311212,Rice Milling,U.S. Industry,31121
311213,Malt Manufacturing,U.S. Industry,31121
31122,Starch and Vegetable Fats and Oils Manufacturing,Industry,3112
311221,Wet Corn Milling,U.S. Industry,31122
311224,Soybean and Other Oilseed Processing,U.S. Industry,31122
311225,Fats and Oils Refining and Blending,U.S. Industry,31122
31123,Breakfast Cereal Manufacturing,Industry,3112
311230,Breakfast Cereal Manufacturing,U.S. Industry,31123
3113,Sugar and Confectionery Product Manufacturing,Industry Group,311
31131,Sugar Manufacturing,Industry,3113
311313,Beet Sugar Manufacturing,U.S. Industry,31131
311314,Cane Sugar Manufacturing,U.S. Industry,31131
31134,Nonchocolate Confectionery Manufacturing,Industry,3113
311340,Nonchocolate Confectionery Manufacturing,U.S. Industry,31134
31135,Chocolate and Confectionery Manufacturing,Industry,3113
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,U.S. Industry,31135
311352,Confectionery Manufacturing from Purchased Chocolate,U.S. Industry,31135
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,Industry Group,311
31141,Frozen Food Manufacturing,Industry,3114
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",U.S. Industry,31141
311412,Frozen Specialty Food Manufacturing,U.S. Industry,31141
31142,"Fruit and Vegetable Canning, Pickling, and Drying",Industry,3114
311421,Fruit and Vegetable Canning,U.S. Industry,31142
311422,Specialty Canning,U.S. Industry,31142
311423,Dried and Dehydrated Food Manufacturing,U.S. Industry,31142
3115,Dairy Product Manufacturing,Industry Group,311
31151,Dairy Product (except Frozen) Manufacturing,Industry,3115
311511,Fluid Milk Manufacturing,U.S. Industry,31151
311512,Creamery Butter Manufacturing,U.S. Industry,31151
311513,Cheese Manufacturing,U.S. Industry,31151
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",U.S. Industry,31151
31152,Ice Cream and Frozen Dessert Manufacturing,Industry,3115
311520,Ice Cream and Frozen Dessert Manufacturing,U.S. Industry,31152
3116,Animal Slaughtering and Processing,Industry Group,311
31161,Animal Slaughtering and Processing,Industry,3116
311611,Animal (except Poultry) Slaughtering,U.S. Industry,31161
311612,Meat Processed from Carcasses,U.S. Industry,31161
311613,Rendering and Meat Byproduct Processing,U.S. Industry,31161
311615,Poultry Processing,U.S. Industry,31161
3117,Seafood Product Preparation and Packaging,Industry Group,311
31171,Seafood Product Preparation and Packaging,Industry,3117
311710,Seafood Product Preparation and Packaging,U.S. Industry,31171
3118,Bakeries and Tortilla Manufacturing,Industry Group,311
31181,Bread and Bakery Product Manufacturing,Industry,3118
311811,Retail Bakeries,U.S. Industry,31181
311812,Commercial Bakeries,U.S. Industry,31181
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",U.S. Industry,31181
31182,"Cookie, Cracker, and Pasta Manufacturing",Industry,3118
311821,Cookie and Cracker Manufacturing,U.S. Industry,31182
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",U.S. Industry,31182
31183,Tortilla Manufacturing,Industry,3118
311830,Tortilla Manufacturing,U.S. Industry,31183
3119,Other Food Manufacturing,Industry Group,311
31191,Snack Food Manufacturing,Industry,3119
311911,Roasted Nuts and Peanut Butter Manufacturing,U.S. Industry,31191
311919,Other Snack Food Manufacturing,U.S. Industry,31191
31192,Coffee and Tea Manufacturing,Industry,3119
311920,Coffee and Tea Manufacturing,U.S. Industry,31192
31193,Flavoring Syrup and Concentrate Manufacturing,Industry,3119
311930,Flavoring Syrup and Concentrate Manufacturing,U.S. Industry,31193
31194,Seasoning and Dressing Manufacturing,Industry,3119
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",U.S. Industry,31194
311942,Spice and Extract Manufacturing,U.S. Industry,31194
31199,All Other Food Manufacturing,Industry,3119
311991,Perishable Prepared Food Manufacturing,U.S. Industry,31199
311999,All Other Miscellaneous Food Manufacturing,U.S. Industry,31199
312,Beverage and Tobacco Product Manufacturing,Subsector,31
3121,Beverage Manufacturing,Industry Group,312
31211,Soft Drink and Ice Manufacturing,Industry,3121
312111,Soft Drink Manufacturing,U.S. Industry,31211
312112,Bottled Water Manufacturing,U.S. Industry,31211
312113,Ice Manufacturing,U.S. Industry,31211
31212,Breweries,Industry,3121
312120,Breweries,U.S. Industry,31212
31213,Wineries,Industry,3121
312130,Wineries,U.S. Industry,31213
31214,Distilleries,Industry,3121
312140,Distilleries,U.S. Industry,31214
3122,Tobacco Manufacturing,Industry Group,312
31223,Tobacco Manufacturing,Industry,3122
312230,Tobacco Manufacturing,U.S. Industry,31223
313,Textile Mills,Subsector,31
3131,"Fiber, Yarn, and Thread Mills",Industry Group,313
31311,"Fiber, Yarn, and Thread Mills",Industry,3131
313110,"Fiber, Yarn, and Thread Mills",U.S. Industry,31311
3132,Fabric Mills,Industry Group,313
31321,Broadwoven Fabric Mills,Industry,3132
313210,Broadwoven Fabric Mills,U.S. Industry,31321
31322,Narrow Fabric Mills and Schiffli Machine Embroidery,Industry,3132
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,U.S. Industry,31322
31323,Nonwoven Fabric Mills,Industry,3132
313230,Nonwoven Fabric Mills,U.S. Industry,31323
31324,Knit Fabric Mills,Industry,3132
313240,Knit Fabric Mills,U.S. Industry,31324
3133,Textile and Fabric Finishing and Fabric Coating Mills,Industry Group,313
31331,Textile and Fabric Finishing Mills,Industry,3133
313310,Textile and Fabric Finishing Mills,U.S. Industry,31331
31332,Fabric Coating Mills,Industry,3133
313320,Fabric Coating Mills,U.S. Industry,31332
314,Textile Product Mills,Subsector,31
3141,Textile Furnishings Mills,Industry Group,314
31411,Carpet and Rug Mills,Industry,3141
314110,Carpet and Rug Mills,U.S. Industry,31411
31412,Curtain and Linen Mills,Industry,3141
314120,Curtain and Linen Mills,U.S. Industry,31412
3149,Other Textile Product Mills,Industry Group,314
31491,Textile Bag and Canvas Mills,Industry,3149
314910,Textile Bag and Canvas Mills,U.S. Industry,31491
31499,All Other Textile Product Mills,Industry,3149
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",U.S. Industry,31499
314999,All Other Miscellaneous Textile Product Mills,U.S. Industry,31499
315,Apparel Manufacturing,Subsector,31
3151,Apparel Knitting Mills,Industry Group,315
31511,Hosiery and Sock Mills,Industry,3151
315110,Hosiery and Sock Mills,U.S. Industry,31511
31519,Other Apparel Knitting Mills,Industry,3151
315190,Other Apparel Knitting Mills,U.S. Industry,31519
3152,Cut and Sew Apparel Manufacturing,Industry Group,315
31521,Cut and Sew Apparel Contractors,Industry,3152
315210,Cut and Sew Apparel Contractors,U.S. Industry,31521
31522,Men’s and Boys’ Cut and Sew Apparel Manufacturing,Industry,3152
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing,U.S. Industry,31522
31524,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing",Industry,3152
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing",U.S. Industry,31524
31528,Other Cut and Sew Apparel Manufacturing,Industry,3152
315280,Other Cut and Sew Apparel Manufacturing,U.S. Industry,31528
3159,Apparel Accessories and Other Apparel Manufacturing,Industry Group,315
31599,Apparel Accessories and Other Apparel Manufacturing,Industry,3159
315990,Apparel Accessories and Other Apparel Manufacturing,U.S. Industry,31599
316,Leather and Allied Product Manufacturing,Subsector,31
3161,Leather and Hide Tanning and Finishing,Industry Group,316
31611,Leather and Hide Tanning and Finishing,Industry,3161
316110,Leather and Hide Tanning and Finishing,U.S. Industry,31611
3162,Footwear Manufacturing,Industry Group,316
31621,Footwear Manufacturing,Industry,3162
316210,Footwear Manufacturing,U.S. Industry,31621
3169,Other Leather and Allied Product Manufacturing,Industry Group,316
31699,Other Leather and Allied Product Manufacturing,Industry,3169
316992,Women’s Handbag and Purse Manufacturing,U.S. Industry,31699
316998,All Other Leather Good and Allied Product Manufacturing,U.S. Industry,31699
32,Manufacturing,Sector,
321,Wood Product Manufacturing,Subsector,32
3211,Sawmills and Wood Preservation,Industry Group,321
32111,Sawmills and Wood Preservation,Industry,3211
321113,Sawmills,U.S. Industry,32111
321114,Wood Preservation,U.S. Industry,32111
3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",Industry Group,321
32121,"Veneer, Plywood, and Engineered Wood Product Manufacturing",Industry,3212
321211,Hardwood Veneer and Plywood Manufacturing,U.S. Industry,32121
321212,Softwood Veneer and Plywood Manufacturing,U.S. Industry,32121
321213,Engineered Wood Member (except Truss) Manufacturing,U.S. Industry,32121
321214,Truss Manufacturing,U.S. Industry,32121
321219,Reconstituted Wood Product Manufacturing,U.S. Industry,32121
3219,Other Wood Product Manufacturing,Industry Group,321
32191,Millwork,Industry,3219
321911,Wood Window and Door Manufacturing,U.S. Industry,32191
321912,"Cut Stock, Resawing Lumber, and Planing",U.S. Industry,32191
321918,Other Millwork (including Flooring),U.S. Industry,32191
32192,Wood Container and Pallet Manufacturing,Industry,3219
321920,Wood Container and Pallet Manufacturing,U.S. Industry,32192
32199,All Other Wood Product Manufacturing,Industry,3219
321991,Manufactured Home (Mobile Home) Manufacturing,U.S. Industry,32199
321992,Prefabricated Wood Building Manufacturing,U.S. Industry,32199
321999,All Other Miscellaneous Wood Product Manufacturing,U.S. Industry,32199
322,Paper Manufacturing,Subsector,32
3221,"Pulp, Paper, and Paperboard Mills",Industry Group,322
32211,Pulp Mills,Industry,3221
322110,Pulp Mills,U.S. Industry,32211
32212,Paper Mills,Industry,3221
322121,Paper (except Newsprint) Mills,U.S. Industry,32212
322122,Newsprint Mills,U.S. Industry,32212
32213,Paperboard Mills,Industry,3221
322130,Paperboard Mills,U.S. Industry,32213
3222,Converted Paper Product Manufacturing,Industry Group,322
32221,Paperboard Container Manufacturing,Industry,3222
322211,Corrugated and Solid Fiber Box Manufacturing,U.S. Industry,32221
322212,Folding Paperboard Box Manufacturing,U.S. Industry,32221
322219,Other Paperboard Container Manufacturing,U.S. Industry,32221
32222,Paper Bag and Coated and Treated Paper Manufacturing,Industry,3222
322220,Paper Bag and Coated and Treated Paper Manufacturing,U.S. Industry,32222
32223,Stationery Product Manufacturing,Industry,3222
322230,Stationery Product Manufacturing,U.S. Industry,32223
32229,Other Converted Paper Product Manufacturing,Industry,3222
322291,Sanitary Paper Product Manufacturing,U.S. Industry,32229
322299,All Other Converted Paper Product Manufacturing,U.S. Industry,32229
323,Printing and Related Support Activities,Subsector,32
3231,Printing and Related Support Activities,Industry Group,323
32311,Printing,Industry,3231
323111,Commercial Printing (except Screen and Books),U.S. Industry,32311
323113,Commercial Screen Printing,U.S. Industry,32311
323117,Books Printing,U.S. Industry,32311
32312,Support Activities for Printing,Industry,3231
323120,Support Activities for Printing,U.S. Industry,32312
324,Petroleum and Coal Products Manufacturing,Subsector,32
3241,Petroleum and Coal Products Manufacturing,Industry Group,324
32411,Petroleum Refineries,Industry,3241
324110,Petroleum Refineries,U.S. Industry,32411
32412,"Asphalt Paving, Roofing, and Saturated Materials Manufacturing",Industry,3241
324121,Asphalt Paving Mixture and Block Manufacturing,U.S. Industry,32412
324122,Asphalt Shingle and Coating Materials Manufacturing,U.S. Industry,32412
32419,Other Petroleum and Coal Products Manufacturing,Industry,3241
324191,Petroleum Lubricating Oil and Grease Manufacturing,U.S. Industry,32419
324199,All Other Petroleum and Coal Products Manufacturing,U.S. Industry,32419
325,Chemical Manufacturing,Subsector,32
